Praise for	Praise for	Похвала за	Praise for
Case Vignette 1: Parts-Led Divorce	Case Vignette 1: Parts-Led Divorce	Пример 1: развод по частям	Case Vignette 1: Parts-Led Divorce
At age 42, Diane had two children ages 7 and 14 and her 20-year marriage was ending. She came to therapy to manage her rage. Her husband traveled out of state for work two weeks out of the month. She discovered that while he was away, he lived with another woman and the two young children he had with her. Diane’s raging part spent consecutive sessions erupting and plotting to make him pay for what he did to their family. This rage part was polarized with a part that wailed for entire sessions and incapacitated Diane. She reported spending some days crying uncontrollably and some days plotting and carrying out vengeful actions against her husband. She had yet another part that wanted to report on all the things her husband did and continued to do that hurt her and the children. Diane had little access to Self-energy, so no matter what gains we made in session, they were lost between sessions.	At age 42, Diane had two children ages 7 and 14 and her 20-year marriage was ending. She came to therapy to manage her rage. Her husband traveled out of state for work two weeks out of the month. She discovered that while he was away, he lived with another woman and the two young children he had with her. Diane’s raging part spent consecutive sessions erupting and plotting to make him pay for what he did to their family. This rage part was polarized with a part that wailed for entire sessions and incapacitated Diane. She reported spending some days crying uncontrollably and some days plotting and carrying out vengeful actions against her husband. She had yet another part that wanted to report on all the things her husband did and continued to do that hurt her and the children. Diane had little access to Self-energy, so no matter what gains we made in session, they were lost between sessions.	В 42 года у Дайаны было двое детей 7 и 14 лет, и ее 20-летний брак подходил к концу. Она пришла на терапию, чтобы справиться со своей яростью. Ее муж уезжал за границу на работу две недели в месяц. Она обнаружила, что, пока его не было, он жил с другой женщиной и двумя маленькими детьми, которые у него были от нее. Яростная часть Дайаны проводила последовательные сеансы, вспыхивая и строя заговоры, чтобы заставить его заплатить за то, что он сделал с их семьей. Эта часть ярости была поляризована частью, которая плакала на протяжении всей сессии и выводила Диану из строя. Она сообщила, что несколько дней бесконтрольно плакала, а несколько дней планировала и осуществляла действия против своего мужа. У нее была еще одна часть, которая хотела сообщить обо всем, что делал и продолжал делать ее муж, что причиняло боль ей и детям. У Дианы был ограниченный доступ к Самоэнергии, поэтому каких бы успехов мы ни добились за сеанс, они терялись между сеансами.	At age 42, Diane had two children ages 7 and 14 and her 20-year marriage was ending. She came to therapy to manage her rage. Her husband traveled out of state for work two weeks out of the month. She discovered that while he was away, he lived with another woman and the two young children he had with her. Diane’s raging part spent consecutive sessions erupting and plotting to make him pay for what he did to their family. This rage part was polarized with a part that wailed for entire sessions and incapacitated Diane. She reported spending some days crying uncontrollably and some days plotting and carrying out vengeful actions against her husband. She had yet another part that wanted to report on all the things her husband did and continued to do that hurt her and the children. Diane had little access to Self-energy, so no matter what gains we made in session, they were lost between sessions.
Diane’s raging, vengeful parts tried to discredit her husband to his boss, in their community and their church, and with their children. She withheld the children from visiting him until he was granted a court order, and even then, she didn’t allow visitation until she was held in contempt of court. She accused him of being unfit, which brought Child Protective Services into their lives to supervise his visits until their investigation was completed. Ultimately, CPS ruled Diane’s complaints that her husband was unfit were unfounded. Her raging parts were undeterred; in fact, they gained momentum.	Diane’s raging, vengeful parts tried to discredit her husband to his boss, in their community and their church, and with their children. She withheld the children from visiting him until he was granted a court order, and even then, she didn’t allow visitation until she was held in contempt of court. She accused him of being unfit, which brought Child Protective Services into their lives to supervise his visits until their investigation was completed. Ultimately, CPS ruled Diane’s complaints that her husband was unfit were unfounded. Her raging parts were undeterred; in fact, they gained momentum.	Яростные, мстительные части Дианы пытались дискредитировать ее мужа перед его начальником, в их обществе, в их церкви, а также перед их детьми. Она не позволяла детям посещать его до тех пор, пока он не получил постановление суда, и даже тогда она не разрешала посещения, пока ее не признали неуважением к суду. Она обвинила его в непригодности, что привело к появлению в их жизни Службы защиты детей, которая наблюдала за его посещениями, пока расследование не было завершено. В конечном итоге CPS постановила, что жалобы Дайаны на непригодность ее мужа необоснованны. Ее разъяренные части не испугались; на самом деле, они набрали обороты.	Diane’s raging, vengeful parts tried to discredit her husband to his boss, in their community and their church, and with their children. She withheld the children from visiting him until he was granted a court order, and even then, she didn’t allow visitation until she was held in contempt of court. She accused him of being unfit, which brought Child Protective Services into their lives to supervise his visits until their investigation was completed. Ultimately, CPS ruled Diane’s complaints that her husband was unfit were unfounded. Her raging parts were undeterred; in fact, they gained momentum.
When Diane’s raging parts were most active, she canceled therapy sessions for weeks at a time. She would later share in session the irreparable financial, emotional, and property damage she was causing her husband. She also did everything she could to prolong the divorce proceedings. Diane’s divorce was eventually granted, but her raging, vengeful parts did not stop. Eventually they turned their anger toward me and Diane stopped coming to therapy.	When Diane’s raging parts were most active, she canceled therapy sessions for weeks at a time. She would later share in session the irreparable financial, emotional, and property damage she was causing her husband. She also did everything she could to prolong the divorce proceedings. Diane’s divorce was eventually granted, but her raging, vengeful parts did not stop. Eventually they turned their anger toward me and Diane stopped coming to therapy.	Когда бушующие части Дайаны были наиболее активны, она отменяла сеансы терапии на несколько недель. Позже на сеансе она рассказала о непоправимом финансовом, эмоциональном и имущественном ущербе, который она нанесла своему мужу. Она также сделала все возможное, чтобы затянуть бракоразводный процесс. В конце концов развод Дайаны был удовлетворен, но ее яростные и мстительные чувства не прекратились. В конце концов они обратили свой гнев на меня, и Дайана перестала приходить на терапию.	When Diane’s raging parts were most active, she canceled therapy sessions for weeks at a time. She would later share in session the irreparable financial, emotional, and property damage she was causing her husband. She also did everything she could to prolong the divorce proceedings. Diane’s divorce was eventually granted, but her raging, vengeful parts did not stop. Eventually they turned their anger toward me and Diane stopped coming to therapy.
Case Vignette 2: Self-Led Divorce	Case Vignette 2: Self-Led Divorce	Случай 2: Самостоятельный развод	Case Vignette 2: Self-Led Divorce
Another client, Gemma, was getting a divorce because her husband had cheated on her. Gemma had parts that were sad and angry and “knew better.” Gemma had suspected her husband’s cheating for a few years and questioned him multiple times. Each time she asked, he denied it. Even though she couldn’t prove it, she couldn’t shake the feeling he was lying. Eventually she hired a private detective, who provided the proof in a few weeks: her husband was carrying on multiple affairs and had been for years.	Another client, Gemma, was getting a divorce because her husband had cheated on her. Gemma had parts that were sad and angry and “knew better.” Gemma had suspected her husband’s cheating for a few years and questioned him multiple times. Each time she asked, he denied it. Even though she couldn’t prove it, she couldn’t shake the feeling he was lying. Eventually she hired a private detective, who provided the proof in a few weeks: her husband was carrying on multiple affairs and had been for years.	Другая клиентка, Джемма, собиралась развестись, потому что муж ей изменил. В Джемме были грустные и злые роли, которые «знали лучше». Джемма уже несколько лет подозревала мужа в измене и неоднократно допрашивала его. Каждый раз, когда она спрашивала, он отрицал это. Хотя она не могла этого доказать, она не могла избавиться от ощущения, что он лжет. В конце концов она наняла частного детектива, который за несколько недель предоставил доказательства: у ее мужа было множество романов в течение многих лет.	Another client, Gemma, was getting a divorce because her husband had cheated on her. Gemma had parts that were sad and angry and “knew better.” Gemma had suspected her husband’s cheating for a few years and questioned him multiple times. Each time she asked, he denied it. Even though she couldn’t prove it, she couldn’t shake the feeling he was lying. Eventually she hired a private detective, who provided the proof in a few weeks: her husband was carrying on multiple affairs and had been for years.
Even though Gemma was new to IFS therapy, she had good access to Self. However, she had a Self-like part who wanted to “take the high road.” Taking the high road initially seemed like a Self-led endeavor; however, after learning that the part wanted to prove Gemma was a good person, I understood it was a Self-like part. This part was polarized with the other three parts and believed that if those parts expressed themselves, Gemma would not be seen as a good person by her husband, her divorce attorney, or the judge. We discovered that this part’s need to be seen as good had caused Gemma to accept poor treatment in her marriage, in friendships, and from family members.	Even though Gemma was new to IFS therapy, she had good access to Self. However, she had a Self-like part who wanted to “take the high road.” Taking the high road initially seemed like a Self-led endeavor; however, after learning that the part wanted to prove Gemma was a good person, I understood it was a Self-like part. This part was polarized with the other three parts and believed that if those parts expressed themselves, Gemma would not be seen as a good person by her husband, her divorce attorney, or the judge. We discovered that this part’s need to be seen as good had caused Gemma to accept poor treatment in her marriage, in friendships, and from family members.	Несмотря на то, что Джемма была новичком в терапии IFS, у нее был хороший доступ к Самости. Однако у нее была часть, подобная Самости, которая хотела «пойти по большой дороге». Выбор большой дороги поначалу казался самостоятельным усилием; однако, узнав, что эта часть хотела доказать, что Джемма была хорошим человеком, я понял, что это была Самоподобная часть. Эта часть была поляризована с тремя другими частями и считала, что, если эти части проявят себя, Джемму не сочтут хорошим человеком ни ее муж, ни ее адвокат по бракоразводным процессам, ни судья. Мы обнаружили, что потребность этой части в том, чтобы ее считали хорошей, заставила Джемму мириться с плохим обращением в браке, в дружбе и со стороны членов семьи.	Even though Gemma was new to IFS therapy, she had good access to Self. However, she had a Self-like part who wanted to “take the high road.” Taking the high road initially seemed like a Self-led endeavor; however, after learning that the part wanted to prove Gemma was a good person, I understood it was a Self-like part. This part was polarized with the other three parts and believed that if those parts expressed themselves, Gemma would not be seen as a good person by her husband, her divorce attorney, or the judge. We discovered that this part’s need to be seen as good had caused Gemma to accept poor treatment in her marriage, in friendships, and from family members.
Gemma was committed to her mental and emotional health. She attended sessions as scheduled, actively participated, worked with her parts outside of session, and completed all homework assignments. She even joined an IFS support group for women going through divorce.	Gemma was committed to her mental and emotional health. She attended sessions as scheduled, actively participated, worked with her parts outside of session, and completed all homework assignments. She even joined an IFS support group for women going through divorce.	Джемма заботилась о своем психическом и эмоциональном здоровье. Она посещала занятия по расписанию, активно участвовала в них, работала со своими частями вне занятий и выполняла все домашние задания. Она даже присоединилась к группе поддержки IFS для женщин, переживающих развод.	Gemma was committed to her mental and emotional health. She attended sessions as scheduled, actively participated, worked with her parts outside of session, and completed all homework assignments. She even joined an IFS support group for women going through divorce.
We took time to get to know her sad, angry, “high road,” and “knew better” parts. We discovered that the anger she thought was directed at her husband was really directed at herself because she didn’t listen to the part that was certain of his cheating years ago. Gemma had parts who needed to trust his lies because they were afraid of starting over. She also had parts who thought of ways to hurt him or make him pay, but they never acted on these thoughts; it was more an expression of their anger. Ultimately, Gemma decided to focus on her parts and how what happened in her marriage was not an isolated incident. By coming into relationship with her protectors and unburdening the vulnerable parts, her system became more balanced, with Self leading. Gemma faced the divorce proceedings courageously, standing up for herself and confidently asking for what she wanted without needing to be seen as a good person.	We took time to get to know her sad, angry, “high road,” and “knew better” parts. We discovered that the anger she thought was directed at her husband was really directed at herself because she didn’t listen to the part that was certain of his cheating years ago. Gemma had parts who needed to trust his lies because they were afraid of starting over. She also had parts who thought of ways to hurt him or make him pay, but they never acted on these thoughts; it was more an expression of their anger. Ultimately, Gemma decided to focus on her parts and how what happened in her marriage was not an isolated incident. By coming into relationship with her protectors and unburdening the vulnerable parts, her system became more balanced, with Self leading. Gemma faced the divorce proceedings courageously, standing up for herself and confidently asking for what she wanted without needing to be seen as a good person.	Нам потребовалось время, чтобы познакомиться с ее грустными, злыми, «большими дорогами» и «знающими лучше» сторонами. Мы обнаружили, что гнев, который, как она думала, был направлен на ее мужа, на самом деле был направлен на нее саму, потому что она не слушала ту часть, которая была уверена в его измене много лет назад. У Джеммы были части, которым нужно было поверить в его ложь, потому что они боялись начать все сначала. У нее также были части, которые думали о том, как причинить ему боль или заставить его заплатить, но они никогда не действовали в соответствии с этими мыслями; это было скорее выражением их гнева. В конце концов, Джемма решила сосредоточиться на своих ролях и на том, что то, что произошло в ее браке, не было изолированным инцидентом. Вступив в отношения со своими защитниками и освободив уязвимые части, ее система стала более сбалансированной, во главе с «Я». Джемма мужественно отнеслась к бракоразводному процессу, постояв за себя и уверенно прося того, чего она хотела, не нуждаясь в том, чтобы ее считали хорошим человеком.	We took time to get to know her sad, angry, “high road,” and “knew better” parts. We discovered that the anger she thought was directed at her husband was really directed at herself because she didn’t listen to the part that was certain of his cheating years ago. Gemma had parts who needed to trust his lies because they were afraid of starting over. She also had parts who thought of ways to hurt him or make him pay, but they never acted on these thoughts; it was more an expression of their anger. Ultimately, Gemma decided to focus on her parts and how what happened in her marriage was not an isolated incident. By coming into relationship with her protectors and unburdening the vulnerable parts, her system became more balanced, with Self leading. Gemma faced the divorce proceedings courageously, standing up for herself and confidently asking for what she wanted without needing to be seen as a good person.
Meditation: Labyrinth with the Ancestor	Meditation: Labyrinth with the Ancestor	Медитация: Лабиринт с Предком	Meditation: Labyrinth with the Ancestor
The Labyrinth with the Ancestor meditation is the eighth in the series given to me by my ancestors.	The Labyrinth with the Ancestor meditation is the eighth in the series given to me by my ancestors.	Лабиринт с медитацией Предка — восьмой в серии, подаренной мне предками.	The Labyrinth with the Ancestor meditation is the eighth in the series given to me by my ancestors.
This meditation highlights the ways you’ve experienced Self-leadership and the qualities of Self-leadership in your life.	This meditation highlights the ways you’ve experienced Self-leadership and the qualities of Self-leadership in your life.	Эта медитация подчеркивает способы, которыми вы ощутили Самолидерство, и качества Самолидерства в вашей жизни.	This meditation highlights the ways you’ve experienced Self-leadership and the qualities of Self-leadership in your life.
Bring your attention to your breath.	Bring your attention to your breath.	Перенесите внимание на свое дыхание.	Bring your attention to your breath.
Notice how your breath moves in and out of your body.	Notice how your breath moves in and out of your body.	Обратите внимание, как ваше дыхание входит и выходит из вашего тела.	Notice how your breath moves in and out of your body.
Go inside by closing your eyes, softening your gaze, or whatever feels comfortable for you.	Go inside by closing your eyes, softening your gaze, or whatever feels comfortable for you.	Войдите внутрь, закрыв глаза, смягчив взгляд или сделав что-то еще, что вам удобно.	Go inside by closing your eyes, softening your gaze, or whatever feels comfortable for you.
Visualize yourself walking in a garden. Take in the beauty in every direction. Feel the sun on your face and the fragrance in the air.	Visualize yourself walking in a garden. Take in the beauty in every direction. Feel the sun on your face and the fragrance in the air.	Представьте, что вы гуляете по саду. Наслаждайтесь красотой во всех направлениях. Почувствуйте солнце на своем лице и аромат в воздухе.	Visualize yourself walking in a garden. Take in the beauty in every direction. Feel the sun on your face and the fragrance in the air.
Walking deeper within, you see a tall semicircular hedge.	Walking deeper within, you see a tall semicircular hedge.	Пройдя глубже, вы видите высокую полукруглую изгородь.	Walking deeper within, you see a tall semicircular hedge.
As you get closer, you recognize an Ancestor standing at a door-like opening in the hedge.	As you get closer, you recognize an Ancestor standing at a door-like opening in the hedge.	Подойдя ближе, вы узнаете Предка, стоящего у похожего на дверь проема в живой изгороди.	As you get closer, you recognize an Ancestor standing at a door-like opening in the hedge.
The Ancestor signals you to come with them.	The Ancestor signals you to come with them.	Предок подает вам знак идти с ними.	The Ancestor signals you to come with them.
The Ancestor says, “I have come to guide you through this labyrinth to remind you of the special gifts you carry within you.”	The Ancestor says, “I have come to guide you through this labyrinth to remind you of the special gifts you carry within you.”	Предок говорит: «Я пришел провести тебя через этот лабиринт, чтобы напомнить тебе об особых дарах, которые ты несешь внутри себя».	The Ancestor says, “I have come to guide you through this labyrinth to remind you of the special gifts you carry within you.”
They go on to explain, “Many people confuse a labyrinth with a maze. But unlike a maze, a labyrinth has no dead ends, and you cannot get lost. A labyrinth ends where it begins.	They go on to explain, “Many people confuse a labyrinth with a maze. But unlike a maze, a labyrinth has no dead ends, and you cannot get lost. A labyrinth ends where it begins.	Далее они объясняют: «Многие люди путают лабиринт с лабиринтом. Но в отличие от лабиринта, в лабиринте нет тупиков, и заблудиться невозможно. Лабиринт заканчивается там, где начинается.	They go on to explain, “Many people confuse a labyrinth with a maze. But unlike a maze, a labyrinth has no dead ends, and you cannot get lost. A labyrinth ends where it begins.
The Ancestor lets you know the experience of walking a labyrinth can be very tranquil and assures you that they will accompany you throughout.	The Ancestor lets you know the experience of walking a labyrinth can be very tranquil and assures you that they will accompany you throughout.	Предок сообщает вам, что прогулка по лабиринту может быть очень спокойной, и уверяет, что они будут сопровождать вас повсюду.	The Ancestor lets you know the experience of walking a labyrinth can be very tranquil and assures you that they will accompany you throughout.
You join the Ancestor inside to begin walking the outermost circle of the labyrinth.	You join the Ancestor inside to begin walking the outermost circle of the labyrinth.	Вы присоединяетесь к Предку внутри, чтобы начать идти по внешнему кругу лабиринта.	You join the Ancestor inside to begin walking the outermost circle of the labyrinth.
As you walk together the Ancestor says, “The gift you possess is an inner wisdom consisting of eight qualities. I will ask you to recall examples from your life of how these qualities are already within you.”	As you walk together the Ancestor says, “The gift you possess is an inner wisdom consisting of eight qualities. I will ask you to recall examples from your life of how these qualities are already within you.”	Когда вы идете вместе, Предок говорит: «Дар, которым вы обладаете, — это внутренняя мудрость, состоящая из восьми качеств. Я попрошу вас вспомнить примеры из вашей жизни того, как эти качества уже есть внутри вас».	As you walk together the Ancestor says, “The gift you possess is an inner wisdom consisting of eight qualities. I will ask you to recall examples from your life of how these qualities are already within you.”
The Ancestor says the word Compassion, and right before your eyes you see a movie of the ways you have shown compassion to friends, family, people you love, strangers, and yourself.	The Ancestor says the word Compassion, and right before your eyes you see a movie of the ways you have shown compassion to friends, family, people you love, strangers, and yourself.	Предок произносит слово «Сострадание», и прямо перед вашими глазами вы видите фильм о том, как вы проявили сострадание к друзьям, семье, людям, которых любите, незнакомцам и самому себе.	The Ancestor says the word Compassion, and right before your eyes you see a movie of the ways you have shown compassion to friends, family, people you love, strangers, and yourself.
The two of you walk the second circle, and the Ancestor says, “Creativity,” and you see the novel ways you’ve found solutions to problems, examples of your unique self-expression, and your creative nature.	The two of you walk the second circle, and the Ancestor says, “Creativity,” and you see the novel ways you’ve found solutions to problems, examples of your unique self-expression, and your creative nature.	Вы вдвоем проходите второй круг, и Предок говорит: «Творчество», и вы видите новые способы поиска решений проблем, примеры вашего уникального самовыражения и вашей творческой натуры.	The two of you walk the second circle, and the Ancestor says, “Creativity,” and you see the novel ways you’ve found solutions to problems, examples of your unique self-expression, and your creative nature.
The Ancestor gently nudges you to continue walking the third circle and says, “Calm”; first notice your body and your breathing. Then you see images of times in your life when you were calm or brought calm to someone else. See if there were times when you were calm in a stressful or challenging situation.	The Ancestor gently nudges you to continue walking the third circle and says, “Calm”; first notice your body and your breathing. Then you see images of times in your life when you were calm or brought calm to someone else. See if there were times when you were calm in a stressful or challenging situation.	Предок мягко подталкивает вас продолжать идти по третьему кругу и говорит: «Спокойно»; сначала обратите внимание на свое тело и свое дыхание. Затем вы видите образы моментов из своей жизни, когда вы были спокойны или успокаивали кого-то другого. Посмотрите, были ли моменты, когда вы были спокойны в стрессовой или сложной ситуации.	The Ancestor gently nudges you to continue walking the third circle and says, “Calm”; first notice your body and your breathing. Then you see images of times in your life when you were calm or brought calm to someone else. See if there were times when you were calm in a stressful or challenging situation.
When that is complete, the two of you move through the fourth inner circle, slowing your place a bit, and the Ancestor says, “Courage,” and shows you how you have been courageous in small and not-so-small ways. How you have stood up for yourself or others.	When that is complete, the two of you move through the fourth inner circle, slowing your place a bit, and the Ancestor says, “Courage,” and shows you how you have been courageous in small and not-so-small ways. How you have stood up for yourself or others.	Когда это будет завершено, вы двое двигаетесь через четвертый внутренний круг, немного замедляя свое место, и Предок говорит: «Мужество» и показывает вам, как вы проявляли смелость в маленьких и не очень маленьких проявлениях. Как вы постояли за себя или других.	When that is complete, the two of you move through the fourth inner circle, slowing your place a bit, and the Ancestor says, “Courage,” and shows you how you have been courageous in small and not-so-small ways. How you have stood up for yourself or others.
Next you walk the fifth inner circle of Curiosity. The Ancestor shows you times from your life when you engaged others with genuine interest in the triumphs and challenges of their lives. Notice how your curiosity encouraged others to open to share with you.	Next you walk the fifth inner circle of Curiosity. The Ancestor shows you times from your life when you engaged others with genuine interest in the triumphs and challenges of their lives. Notice how your curiosity encouraged others to open to share with you.	Далее вы проходите пятый внутренний круг Curiosity. «Предок» показывает вам моменты из вашей жизни, когда вы с искренним интересом привлекали других к победам и испытаниям их жизни. Обратите внимание, как ваше любопытство побудило других открыться и поделиться с вами.	Next you walk the fifth inner circle of Curiosity. The Ancestor shows you times from your life when you engaged others with genuine interest in the triumphs and challenges of their lives. Notice how your curiosity encouraged others to open to share with you.
Walking deeper into the labyrinth, the Ancestor says, “Confidence,” and commences to show you examples of this quality from childhood to now.	Walking deeper into the labyrinth, the Ancestor says, “Confidence,” and commences to show you examples of this quality from childhood to now.	Проходя глубже в лабиринт, Предок говорит: «Уверенность» и начинает показывать вам примеры этого качества из детства и по сей день.	Walking deeper into the labyrinth, the Ancestor says, “Confidence,” and commences to show you examples of this quality from childhood to now.
The circles have gotten much shorter to walk. The Ancestor says, “Clarity,” and you visualize the people and life situations when you knew exactly what to do or say without judgment.	The circles have gotten much shorter to walk. The Ancestor says, “Clarity,” and you visualize the people and life situations when you knew exactly what to do or say without judgment.	Круги стали намного короче. Предок говорит: «Ясность», и вы визуализируете людей и жизненные ситуации, когда вы точно знали, что делать или говорить, без осуждения.	The circles have gotten much shorter to walk. The Ancestor says, “Clarity,” and you visualize the people and life situations when you knew exactly what to do or say without judgment.
You and the Ancestor arrive at the centermost part of the labyrinth, where you find a bench.	You and the Ancestor arrive at the centermost part of the labyrinth, where you find a bench.	Вы и Предок доберетесь до центральной части лабиринта, где найдете скамейку.	You and the Ancestor arrive at the centermost part of the labyrinth, where you find a bench.
The Ancestor invites you to sit with them to watch how you have lived the final quality of Connectedness. You see connections from the past and the ones you have now. See if you can notice connections with other ancestors.	The Ancestor invites you to sit with them to watch how you have lived the final quality of Connectedness. You see connections from the past and the ones you have now. See if you can notice connections with other ancestors.	Предок приглашает вас сесть с ними и посмотреть, как вы прожили последнее качество Связности. Вы видите связи из прошлого и те, которые у вас есть сейчас. Посмотрите, сможете ли вы заметить связи с другими предками.	The Ancestor invites you to sit with them to watch how you have lived the final quality of Connectedness. You see connections from the past and the ones you have now. See if you can notice connections with other ancestors.
The Ancestor tells you it is time to travel back through the labyrinth and adds that you will discover tokens or gifts representing each quality of Self as you walk back to the beginning. The Ancestor goes on to say, “Each gift reflects how your qualities show up, and they are yours to take with you.” The Ancestor hands you a container to collect your gifts.	The Ancestor tells you it is time to travel back through the labyrinth and adds that you will discover tokens or gifts representing each quality of Self as you walk back to the beginning. The Ancestor goes on to say, “Each gift reflects how your qualities show up, and they are yours to take with you.” The Ancestor hands you a container to collect your gifts.	Предок сообщает вам, что пришло время вернуться через лабиринт, и добавляет, что по мере возвращения к началу вы обнаружите жетоны или дары, представляющие каждое качество «Я». Далее Предок говорит: «Каждый подарок отражает то, как проявляются ваши качества, и вы можете взять их с собой». Предок вручает вам контейнер для сбора ваших даров.	The Ancestor tells you it is time to travel back through the labyrinth and adds that you will discover tokens or gifts representing each quality of Self as you walk back to the beginning. The Ancestor goes on to say, “Each gift reflects how your qualities show up, and they are yours to take with you.” The Ancestor hands you a container to collect your gifts.
Accompanied by the Ancestor, you look around this inner space for your token of Connectedness. When you find it, you place it in the container.	Accompanied by the Ancestor, you look around this inner space for your token of Connectedness. When you find it, you place it in the container.	В сопровождении Предка вы осматриваете это внутреннее пространство в поисках своего знака Связности. Когда вы его найдете, вы поместите его в контейнер.	Accompanied by the Ancestor, you look around this inner space for your token of Connectedness. When you find it, you place it in the container.
Walking the next circle, you find the Clarity token. Before placing it in the container, acknowledge why you selected it.	Walking the next circle, you find the Clarity token. Before placing it in the container, acknowledge why you selected it.	Пройдя следующий круг, вы найдете жетон Ясности. Прежде чем поместить его в контейнер, поймите, почему вы выбрали его.	Walking the next circle, you find the Clarity token. Before placing it in the container, acknowledge why you selected it.
As you circle again, the gift representing Confidence is discovered, and you take it with you.	As you circle again, the gift representing Confidence is discovered, and you take it with you.	Когда вы снова кружите, вы обнаруживаете дар, символизирующий Уверенность, и берете его с собой.	As you circle again, the gift representing Confidence is discovered, and you take it with you.
Walking around, you come across your Curiosity keepsake. Take note of your selection before putting it away.	Walking around, you come across your Curiosity keepsake. Take note of your selection before putting it away.	Прогуливаясь, вы натыкаетесь на свой сувенир Curiosity. Обратите внимание на свой выбор, прежде чем убрать его.	Walking around, you come across your Curiosity keepsake. Take note of your selection before putting it away.
Entering the next turn, you see the memento for Courage. Hold it in your hand; admire what it looks like.	Entering the next turn, you see the memento for Courage. Hold it in your hand; admire what it looks like.	Войдя в следующий ход, вы увидите сувенир за отвагу. Держите его в руке; полюбуйтесь, как это выглядит.	Entering the next turn, you see the memento for Courage. Hold it in your hand; admire what it looks like.
The time to walk each circle increases as you locate and pick up the heirloom of Calm.	The time to walk each circle increases as you locate and pick up the heirloom of Calm.	Время прохождения каждого круга увеличивается по мере того, как вы находите и поднимаете реликвию Спокойствия.	The time to walk each circle increases as you locate and pick up the heirloom of Calm.
Next, you discover the Creativity gift.	Next, you discover the Creativity gift.	Далее вы открываете для себя дар творчества.	Next, you discover the Creativity gift.
Walking the outermost circle, you come upon the gift representing Compassion.	Walking the outermost circle, you come upon the gift representing Compassion.	Пройдя по внешнему кругу, вы находите дар, символизирующий Сострадание.	Walking the outermost circle, you come upon the gift representing Compassion.
When the two of you arrive back at the entrance of the labyrinth, you both take time to admire the collected gifts of Self and their importance in your journey forward.	When the two of you arrive back at the entrance of the labyrinth, you both take time to admire the collected gifts of Self and their importance in your journey forward.	Когда вы двое вернетесь ко входу в лабиринт, вы оба найдёте время, чтобы полюбоваться собранными дарами «Я» и их важностью для вашего путешествия вперёд.	When the two of you arrive back at the entrance of the labyrinth, you both take time to admire the collected gifts of Self and their importance in your journey forward.
The Ancestor says, “Everyone has these qualities, but each person’s expression of these gifts is unique. The most important thing about these gifts is you’ve always had them, and they are meant to be shared.”	The Ancestor says, “Everyone has these qualities, but each person’s expression of these gifts is unique. The most important thing about these gifts is you’ve always had them, and they are meant to be shared.”	Предок говорит: «У каждого есть эти качества, но выражение этих даров у каждого человека уникально. Самое главное в этих дарах то, что они всегда были у вас, и ими нужно делиться».	The Ancestor says, “Everyone has these qualities, but each person’s expression of these gifts is unique. The most important thing about these gifts is you’ve always had them, and they are meant to be shared.”
